都道府県名,二次医療圏番号,二次医療圏名,"合計(40～44歳, 18.5以上20.0未満)","合計(40～44歳, 18.5未満)","合計(40～44歳, 20.0以上25.0未満)","合計(40～44歳, 25.0以上30.0未満)","合計(40～44歳, 30.0以上35.0未満)","合計(40～44歳, 35.0以上40.0未満)","合計(40～44歳, 40.0以上)","合計(45～49歳, 18.5以上20.0未満)","合計(45～49歳, 18.5未満)","合計(45～49歳, 20.0以上25.0未満)","合計(45～49歳, 25.0以上30.0未満)","合計(45～49歳, 30.0以上35.0未満)","合計(45～49歳, 35.0以上40.0未満)","合計(45～49歳, 40.0以上)","合計(50～54歳, 18.5以上20.0未満)","合計(50～54歳, 18.5未満)","合計(50～54歳, 20.0以上25.0未満)","合計(50～54歳, 25.0以上30.0未満)","合計(50～54歳, 30.0以上35.0未満)","合計(50～54歳, 35.0以上40.0未満)","合計(50～54歳, 40.0以上)","合計(55～59歳, 18.5以上20.0未満)","合計(55～59歳, 18.5未満)","合計(55～59歳, 20.0以上25.0未満)","合計(55～59歳, 25.0以上30.0未満)","合計(55～59歳, 30.0以上35.0未満)","合計(55～59歳, 35.0以上40.0未満)","合計(55～59歳, 40.0以上)","合計(60～64歳, 18.5以上20.0未満)","合計(60～64歳, 18.5未満)","合計(60～64歳, 20.0以上25.0未満)","合計(60～64歳, 25.0以上30.0未満)","合計(60～64歳, 30.0以上35.0未満)","合計(60～64歳, 35.0以上40.0未満)","合計(60～64歳, 40.0以上)","合計(65～69歳, 18.5以上20.0未満)","合計(65～69歳, 18.5未満)","合計(65～69歳, 20.0以上25.0未満)","合計(65～69歳, 25.0以上30.0未満)","合計(65～69歳, 30.0以上35.0未満)","合計(65～69歳, 35.0以上40.0未満)","合計(65～69歳, 40.0以上)","合計(70～74歳, 18.5以上20.0未満)","合計(70～74歳, 18.5未満)","合計(70～74歳, 20.0以上25.0未満)","合計(70～74歳, 25.0以上30.0未満)","合計(70～74歳, 30.0以上35.0未満)","合計(70～74歳, 35.0以上40.0未満)","合計(70～74歳, 40.0以上)"
千葉県,1208,君津,362,178,2910,1913,501,114,42,363,124,3551,2449,708,145,45,313,135,3295,2307,610,129,25,248,122,2708,1918,414,86,14,249,134,2645,1640,275,39,,261,138,2780,1640,222,15,,338,191,3465,1732,184,14,
千葉県,1209,市原,274,136,2164,1312,353,76,25,307,117,2795,1794,478,124,38,240,119,2648,1803,482,95,32,201,77,2150,1491,308,54,,195,104,1919,1235,231,31,,201,101,2214,1305,153,,,285,123,2591,1255,119,,
東京都,1301,区中央部,2912,1135,22419,9973,2161,426,114,2568,958,23746,12290,2757,513,163,2214,891,22116,12347,2588,468,101,1806,739,18236,9964,1790,288,78,1161,543,11872,6627,1033,114,25,623,301,5875,3169,451,43,,556,309,5143,2531,319,21,
東京都,1302,区南部,2204,923,16622,7799,1674,389,121,1961,809,18117,9758,2178,487,120,1874,705,17631,10248,2158,413,103,1433,634,13827,7592,1458,255,59,1011,464,9238,5216,891,126,25,682,310,6029,3331,501,40,,772,422,7065,3500,380,36,
東京都,1303,区西南部,2480,904,18395,7154,1309,242,84,2195,772,19177,8521,1588,302,79,1841,756,17494,8532,1540,286,57,1566,661,14899,7372,1221,175,34,1060,500,10506,5248,774,98,18,689,357,6925,3381,433,39,,821,478,7587,3505,353,47,
東京都,1304,区西部,2392,1017,17002,7373,1583,357,127,2066,838,17277,8748,1917,385,100,1740,723,15970,8382,1723,344,94,1458,619,13154,6886,1247,223,38,1060,452,9486,4882,821,84,24,663,334,6545,3425,433,48,,814,466,7351,3292,362,30,
東京都,1305,区西北部,3216,1439,23766,11455,2582,570,169,2887,1237,24967,13796,3222,655,193,2611,1138,23531,13581,3055,616,138,2154,979,19400,11212,2210,385,84,1646,767,15101,8488,1444,200,35,1184,608,11394,6050,833,91,16,1451,757,13004,6419,708,60,13
東京都,1306,区東北部,1735,726,13907,7616,1822,411,140,1725,715,16037,9820,2434,562,160,1623,744,15156,9964,2396,431,129,1351,637,12080,7937,1660,295,62,1041,490,9368,5831,1091,135,38,823,437,7718,4670,741,86,,1084,580,9964,5454,638,66,
東京都,1307,区東部,2509,1047,19897,9834,2321,515,163,2413,1034,22588,12896,2991,590,182,2319,942,22219,13520,3130,569,147,1818,776,17386,10289,1977,310,81,1248,585,11547,6751,1150,161,26,856,453,8325,4750,689,65,,1093,602,9981,5178,641,57,
東京都,1308,西多摩,478,,3502,1887,445,,,517,,4326,2606,654,,,553,,4638,2912,660,,,416,,3986,2370,435,,,363,183,3298,1872,316,,,361,177,3300,1627,176,,,497,290,4610,2026,177,,
東京都,1309,南多摩,2091,969,15194,7282,1771,386,114,2117,881,18159,10202,2344,476,136,2126,881,18995,11318,2427,473,126,1771,752,15968,9095,1628,250,61,1310,574,11839,6406,1030,124,28,1058,527,10012,4980,628,52,,1633,796,13714,5968,540,53,
東京都,1310,北多摩西部,1019,498,7618,3508,817,171,51,980,418,8658,4814,1070,206,53,959,372,8402,5101,1082,237,42,837,372,7583,4245,760,115,29,593,283,5624,3065,494,50,15,494,243,4463,2260,262,,,637,332,5688,2572,272,,
東京都,1311,北多摩南部,1876,842,13448,5767,1228,275,91,1649,666,14289,7213,1528,306,77,1548,613,14061,7717,1575,281,87,1379,564,12264,6477,1170,172,38,964,418,8822,4643,729,95,16,723,353,6522,3412,457,50,,959,523,8427,3790,361,33,
東京都,1312,北多摩北部,1108,502,8224,3895,863,196,48,1046,438,9235,5117,1118,212,61,1036,400,9324,5384,1157,184,58,898,400,8250,4602,909,135,26,695,300,6401,3514,551,58,15,519,276,5070,2711,314,45,,730,400,6550,2892,282,24,
東京都,1313,島しょ,21,,205,109,36,,,25,,230,172,32,,,21,,240,149,31,,,19,,233,125,27,,,15,10,177,117,20,,,18,14,198,108,15,,,27,22,225,125,10,,
神奈川県,1404,川崎北部,1494,631,10817,4868,1101,199,67,1408,598,12011,6207,1357,265,84,1260,510,12133,6663,1417,266,59,1076,463,10140,5470,1015,166,35,715,313,6607,3551,568,55,16,492,197,4310,2116,248,30,,492,246,4498,2036,182,15,
神奈川県,1405,川崎南部,1295,570,9604,4720,1108,279,74,1156,449,10709,6052,1445,302,101,1039,410,9352,5846,1362,312,74,741,341,7237,4267,869,141,36,496,237,4862,2885,471,66,18,339,158,3110,1697,239,,,282,164,2946,1452,131,,
神奈川県,1406,横須賀・三浦,806,328,5970,2990,690,159,50,895,381,8040,4607,1112,218,69,911,375,8613,5162,1080,223,51,751,318,7523,4302,877,147,22,626,297,6013,3407,532,62,21,426,212,4427,2450,340,38,,582,304,5322,2571,263,28,
神奈川県,1407,湘南東部,1121,444,8622,3867,869,154,47,1070,425,10282,5315,1128,250,49,1117,425,10207,5773,1151,208,52,954,393,8558,4592,847,127,19,657,272,6093,3253,520,57,,481,205,4184,2106,274,27,,604,290,5727,2518,235,16,
神奈川県,1408,湘南西部,785,333,5766,2983,695,167,54,813,335,6892,4092,970,183,75,815,351,7048,4169,931,208,56,652,285,5995,3564,712,123,23,493,254,4875,2563,425,57,,406,237,3941,2026,226,24,,574,316,5352,2228,207,16,
神奈川県,1409,県央,1214,583,9447,4893,1214,279,83,1257,522,11175,6815,1702,342,83,1172,505,11044,7161,1642,310,75,956,468,9039,5543,1132,219,41,710,317,6706,3943,624,80,15,571,246,4988,2689,325,29,,725,357,6715,3141,329,21,
神奈川県,1410,相模原,946,437,7561,4039,928,183,62,991,454,8860,5267,1285,271,74,914,402,8841,5632,1288,243,52,813,357,7423,4453,892,143,45,640,260,5511,3034,502,64,13,432,200,4031,2086,258,27,,506,262,4708,2140,193,15,
神奈川県,1411,県西,511,223,3530,1783,437,99,28,479,190,4341,2453,611,131,43,486,209,4384,2638,615,112,31,441,199,4010,2233,420,72,11,374,162,3034,1626,273,31,,228,120,2239,1181,126,,,339,181,2839,1297,109,,
神奈川県,1412,横浜,5969,2496,43998,21143,4669,1014,280,5922,2273,51966,28682,6274,1286,353,5759,2249,53731,31154,6623,1160,325,4665,1999,44946,25307,4800,708,175,3334,1522,32056,17433,2775,372,53,2182,1016,21414,10793,1310,125,,2385,1301,22142,9765,922,64,
新潟県,1501,下越,295,133,2157,1031,275,54,16,309,139,2253,1373,309,64,25,292,132,2327,1301,317,56,20,257,144,2256,1257,232,36,,271,145,2244,1118,149,21,,253,124,2159,1113,141,,,279,159,2534,1221,124,,
新潟県,1502,新潟,1547,739,10732,4791,1073,241,69,1641,745,12683,6266,1399,280,71,1502,645,11466,6047,1228,246,54,1326,604,10012,5082,908,140,33,1113,583,8757,4222,587,73,,854,439,7449,3672,381,32,,923,514,8239,3748,352,22,
新潟県,1503,県央,428,179,2534,1078,251,34,14,399,167,3003,1433,343,70,25,424,186,2799,1439,299,60,16,368,199,2463,1295,205,28,11,297,146,2315,1137,174,,,267,119,2196,965,93,,,293,140,2282,952,79,,
新潟県,1504,中越,838,371,5204,2475,528,128,38,791,339,5971,3103,709,111,36,699,309,5545,2967,610,115,26,649,326,4991,2639,435,73,12,619,328,4702,2296,287,36,,500,256,4126,1923,176,18,,543,295,4808,2135,212,13,
新潟県,1505,魚沼,246,128,1685,848,188,40,,250,95,1963,935,239,47,,246,103,1777,906,201,41,,229,112,1819,823,157,17,,271,125,1967,861,116,,,300,148,2138,839,79,,,315,173,2390,900,56,,
新潟県,1506,上越,504,259,3093,1352,301,71,23,550,244,3643,1711,374,99,21,520,234,3387,1702,327,56,25,420,245,3218,1525,264,36,12,428,223,3110,1417,219,15,,386,178,2845,1277,136,,,425,241,3319,1333,118,,
新潟県,1507,佐渡,72,33,464,260,62,14,,66,25,525,279,78,14,,63,34,575,308,87,19,,68,27,553,341,70,10,,78,29,628,344,45,,,86,38,584,336,41,,,83,44,767,369,41,,
富山県,1601,新川,197,87,1336,610,154,27,,208,83,1659,916,204,44,,194,76,1574,885,168,37,,147,55,1304,761,139,17,,126,55,1252,675,85,11,,104,56,1076,523,80,,,141,77,1172,602,49,,
富山県,1602,富山,915,381,6052,2804,645,154,45,918,394,7507,4040,873,173,53,778,371,6937,3954,836,150,41,586,312,5633,3049,551,82,11,515,245,4533,2505,355,48,,393,181,3582,1877,246,16,,393,221,3972,1861,190,11,
富山県,1603,高岡,560,261,3527,1643,427,84,22,560,246,4504,2446,585,121,33,492,210,4109,2316,499,74,21,398,208,3406,1849,336,68,12,336,166,2884,1575,240,22,,278,139,2727,1347,176,,,378,228,3607,1768,148,,
富山県,1604,砺波,231,109,1377,623,146,36,,222,87,1751,864,234,48,,200,93,1484,840,168,39,,155,78,1332,725,145,21,,148,70,1289,792,101,10,,156,62,1284,655,77,,,203,88,1787,860,80,,
石川県,1701,南加賀,341,144,2536,1129,250,59,16,425,182,3259,1665,351,74,28,325,132,2771,1529,319,51,20,273,112,2350,1261,251,39,,234,116,1987,1040,154,22,,179,80,1734,806,75,,,274,134,2299,1009,82,,
石川県,1702,石川中央,1291,548,8887,3959,875,189,51,1280,497,10871,5601,1142,257,70,1088,499,9648,5234,1137,208,52,823,390,7730,4218,726,103,24,730,337,6442,3450,477,65,12,537,277,5202,2805,315,23,,703,349,6284,3124,295,27,
石川県,1703,能登中部,129,48,1004,579,162,45,,139,72,1300,869,187,41,,121,60,1192,780,183,19,,122,50,1133,676,133,,,118,58,1095,660,96,,,124,51,1088,649,68,,,148,71,1474,759,70,,
石川県,1704,能登北部,38,18,371,247,60,12,,43,28,490,373,93,17,,54,22,470,339,81,16,,54,23,559,323,67,,,55,24,618,357,60,,,75,41,642,358,36,,,92,40,859,451,46,,
福井県,1801,福井・坂井,654,290,4535,2075,470,98,33,625,249,5356,2816,615,120,40,588,215,4784,2792,597,109,39,458,210,4218,2404,423,58,15,363,197,3740,2020,296,34,,299,160,2815,1482,168,,,315,150,2940,1455,107,,
福井県,1802,奥越,92,35,562,257,54,15,,81,17,642,350,73,15,,75,26,543,331,78,11,,68,39,520,318,48,10,,68,35,567,287,39,,,51,40,532,311,25,,,59,37,596,282,18,,
福井県,1803,丹南,313,136,2233,1055,226,44,14,325,141,2523,1304,298,51,19,238,120,2169,1260,243,36,,220,93,1869,1094,175,22,,219,82,1570,893,129,19,,114,67,1248,710,81,,,148,81,1410,662,70,,
福井県,1804,嶺南,206,75,1461,637,172,28,,155,74,1599,902,198,35,,145,58,1444,906,224,38,11,143,60,1363,818,143,23,,146,72,1287,736,105,,,123,66,1074,661,70,,,132,64,1216,574,66,,
山梨県,1901,中北,712,309,5102,2543,614,133,59,738,315,6061,3288,798,134,57,639,296,6078,3259,711,121,25,579,309,5423,2777,515,72,14,548,263,4573,2151,309,38,,499,242,4171,1885,205,17,,561,280,4658,1747,133,11,
山梨県,1902,峡東,150,65,1304,666,166,42,,170,71,1562,938,231,45,,200,93,1623,1000,195,41,,147,76,1498,781,138,23,,156,84,1382,728,101,11,,140,61,1367,637,60,,,162,85,1537,698,70,,
山梨県,1903,峡南,71,39,414,222,64,13,,62,26,510,320,79,16,,43,22,573,353,78,11,,62,42,608,296,45,10,,79,25,614,341,54,10,,74,48,680,313,45,,,85,44,816,337,23,,
山梨県,1904,富士・東部,181,86,1600,853,228,53,22,198,86,1847,1115,249,55,18,215,85,2092,1258,263,50,,229,99,2076,1229,214,34,,185,83,1882,1058,173,18,,186,73,1726,912,95,,,165,99,1830,844,67,,
長野県,2001,佐久,307,151,2171,1072,243,50,12,315,129,2366,1317,302,56,15,248,109,2320,1373,296,40,15,229,119,2129,1249,222,39,,205,103,2142,1083,161,11,,230,97,1947,993,124,,,259,133,2396,1089,95,,
長野県,2002,上小,291,134,1993,867,206,52,25,301,131,2459,1280,309,63,16,265,115,2240,1252,296,48,14,244,119,1938,1077,186,38,,212,108,1723,864,133,21,,211,83,1562,773,93,,,210,93,1758,794,66,,
長野県,2003,諏訪,295,154,2129,883,200,32,14,327,146,2647,1257,281,56,14,367,153,2440,1307,267,46,12,254,103,2023,1074,175,36,,207,101,1723,812,142,10,,193,73,1610,718,72,,,225,120,1995,839,93,,
長野県,2004,上伊那,334,177,2202,936,259,45,,381,173,2678,1356,299,62,10,317,141,2438,1275,268,40,,257,109,2110,1107,192,26,,224,122,2019,956,127,13,,202,111,1739,799,91,,,275,155,2129,863,61,,
長野県,2005,飯伊,278,147,1848,769,147,27,10,286,124,2040,1044,179,48,12,254,124,1998,1024,191,40,,232,135,1787,921,179,13,,194,142,1626,753,103,12,,202,111,1595,718,72,,,214,137,1652,684,58,,
長野県,2006,木曽,31,11,201,127,29,,,36,15,263,172,43,,,34,11,306,143,35,,,33,15,322,202,35,,,33,11,311,151,16,,,40,19,335,188,18,,,49,15,444,207,24,,
長野県,2007,松本,769,337,4949,2293,512,81,36,759,315,6063,3184,648,140,19,694,308,5771,3103,632,129,24,551,248,4730,2623,458,63,14,410,210,3920,1999,274,34,,355,190,3407,1799,207,19,,470,266,4065,1818,169,10,
長野県,2008,大北,69,35,559,279,56,,,82,35,706,393,91,,,83,32,680,436,80,,,74,43,688,380,63,,,69,28,613,347,52,,,76,34,618,329,41,,,103,68,874,380,42,,
長野県,2009,長野,935,411,6388,2679,653,120,49,949,429,7670,3760,802,135,51,898,413,7407,3825,812,127,24,768,317,6333,3219,594,74,28,594,298,5464,2684,418,54,,510,287,4708,2261,252,20,,637,329,5679,2604,256,25,
長野県,2010,北信,127,53,844,395,107,20,,133,70,967,525,105,20,,143,65,954,504,109,,,137,51,980,506,71,11,,120,32,955,460,62,,,113,59,904,450,50,,,146,73,1036,497,27,,
岐阜県,2101,岐阜,1213,609,8575,4147,859,186,65,1314,528,10607,5553,1275,263,69,1138,483,10035,5708,1224,213,62,936,435,8154,4622,861,115,24,737,384,6705,3626,527,60,,596,347,5647,2954,341,35,,843,436,7222,3237,317,28,
岐阜県,2102,西濃,519,254,3818,1876,483,98,31,575,239,4682,2594,612,112,25,531,225,4320,2595,562,115,38,440,197,3687,2197,437,53,13,415,215,3203,1867,298,33,,349,188,2891,1441,184,21,,375,246,3331,1530,150,14,
岐阜県,2103,中濃,587,274,3911,1934,441,91,35,554,233,4807,2536,570,112,36,497,222,4355,2461,502,70,,423,191,3781,1962,347,54,17,456,215,3650,1731,229,,,390,217,3346,1548,150,,,505,253,3895,1562,121,,
岐阜県,2104,東濃,573,269,3644,1592,356,91,,548,282,4473,2230,477,99,23,543,254,4266,2201,405,78,,494,229,3951,1895,316,41,,433,193,3431,1665,203,27,,373,183,3084,1324,116,,,418,198,3464,1233,107,,
岐阜県,2105,飛騨,212,104,1593,740,155,37,,250,84,1976,1043,185,38,10,209,98,1873,1027,177,32,,197,89,1785,833,131,21,,203,99,1635,791,96,,,201,99,1512,624,66,,,289,157,2003,715,57,,
静岡県,2201,賀茂,33,17,355,199,64,10,,57,15,471,291,73,21,,78,19,539,379,83,15,,52,17,508,305,72,,,45,23,459,296,44,,,44,17,481,288,33,,,68,42,604,293,22,,
静岡県,2202,熱海伊東,57,36,482,286,77,19,,82,41,754,471,137,31,,73,43,828,571,125,23,,85,44,764,491,95,,,86,52,792,446,79,,,85,48,747,427,47,,,150,76,1217,551,54,,
静岡県,2203,駿東田方,934,379,6997,3477,930,211,64,955,376,8283,4955,1204,224,74,869,388,8108,5095,1127,218,72,723,328,6974,4361,879,123,30,657,316,5933,3262,557,69,,583,253,4931,2728,356,26,,733,352,6138,2758,265,17,
静岡県,2204,富士,577,239,4406,2356,590,114,42,601,255,5168,3038,767,158,48,572,263,5111,3155,742,148,24,491,203,4467,2593,499,76,16,419,191,3623,2041,309,41,,324,151,2925,1524,164,20,,396,205,3222,1409,151,13,
静岡県,2205,静岡,999,479,7695,3545,847,164,51,1134,490,9335,5142,1222,258,53,1078,451,9277,5372,1166,234,49,898,413,7827,4351,857,106,27,821,405,6663,3436,528,72,20,613,332,5182,2601,310,35,,769,390,6034,2508,237,16,
静岡県,2206,志太榛原,785,370,5184,2286,474,103,39,843,359,6035,3045,687,143,43,715,341,5697,2969,616,112,23,659,296,4924,2506,414,76,17,590,317,4516,2194,280,32,,461,246,3847,1711,191,,,651,326,4467,1679,102,,
静岡県,2207,中東遠,992,433,6227,2704,600,158,43,891,427,6745,3554,772,175,43,717,335,5971,3086,692,145,41,629,308,5216,2575,475,59,22,645,326,4930,2206,300,29,,562,291,4247,1780,165,,,635,393,4804,1682,118,,
静岡県,2208,西部,1605,746,10763,4731,1132,237,61,1501,663,12193,6326,1510,292,87,1390,602,11728,6408,1380,248,53,1170,562,10130,5240,923,167,29,1097,550,8529,4097,584,77,,796,447,6502,2825,322,32,,876,473,7077,2879,218,15,
愛知県,2302,海部,477,205,3310,1717,408,96,34,509,244,4323,2678,664,139,49,535,210,4315,2757,586,129,41,413,218,3441,1959,362,68,,306,172,2497,1525,207,,,227,132,2087,1103,141,,,331,180,2765,1386,127,,
愛知県,2304,尾張東部,908,387,6285,2777,594,119,32,864,396,7387,3694,806,158,,772,325,7096,3821,841,145,30,582,282,5451,2920,539,74,19,434,233,4173,2077,314,40,,338,153,3078,1399,172,15,,447,255,4064,1690,138,15,
愛知県,2305,尾張西部,809,382,5562,2608,655,115,59,848,412,7090,3951,916,187,48,854,374,6825,4038,919,148,46,666,304,5731,3159,608,93,25,564,257,4222,2287,402,50,,439,236,3741,1823,223,25,,606,299,4871,2341,243,11,
愛知県,2306,尾張北部,1187,504,8011,3731,863,188,62,1261,511,10030,5479,1158,236,72,1144,511,9815,5260,1224,212,66,901,400,7563,4092,777,123,30,634,321,5612,2964,429,55,11,519,257,4614,2250,252,28,,707,365,6043,2559,230,11,
愛知県,2307,知多半島,1121,472,7966,3945,933,197,59,1052,437,9601,5370,1265,263,73,894,387,8740,5230,1197,197,67,743,337,7220,4204,814,133,32,621,299,5446,3123,488,54,,472,258,4556,2426,316,35,,638,407,6128,2876,292,29,
愛知県,2308,西三河北部,973,432,7152,3327,786,155,53,867,368,7899,4274,968,218,52,825,375,7587,4457,995,169,35,646,304,6334,3515,630,110,21,516,237,4722,2522,363,50,,327,158,3167,1439,160,,,465,247,3935,1545,114,,
愛知県,2309,西三河南部西,1367,623,9785,4796,1217,264,95,1271,532,10984,6155,1502,289,103,1135,465,10705,6101,1416,276,61,940,436,8720,4956,994,154,22,670,315,6338,3532,538,75,12,468,246,4351,2303,282,17,,589,323,5380,2500,230,20,
愛知県,2310,西三河南部東,835,383,5862,2821,662,138,42,767,293,6595,3473,808,150,52,717,311,6001,3551,784,163,,533,229,4997,2989,526,72,16,415,226,4099,2189,335,33,,382,171,3308,1676,196,17,,485,271,4283,1904,184,10,
愛知県,2311,東三河北部,87,41,549,285,71,11,14,75,38,648,336,87,15,,74,30,626,349,72,16,,76,27,550,326,68,10,,66,36,597,305,37,,,79,37,587,247,38,,,84,40,747,310,35,,
愛知県,2312,東三河南部,1192,518,7970,3803,872,193,57,1087,447,9297,5115,1236,251,76,976,430,8644,5212,1263,233,56,802,368,7167,4222,841,115,28,679,343,6005,3231,501,74,11,497,226,4606,2378,270,20,,585,316,5163,2424,238,20,
愛知県,2313,名古屋・尾張中部,4106,1860,31448,14343,3276,678,229,3891,1617,34740,18815,4226,864,260,3638,1525,33416,19032,4167,749,199,2916,1334,27045,15197,2910,435,94,2181,1116,20357,10942,1679,192,37,1555,840,14148,7207,920,90,,1826,1060,15634,6970,740,59,
三重県,2401,北勢,1335,686,9682,4562,1087,251,75,1467,564,12061,6616,1481,318,99,1329,546,11652,6749,1451,272,71,1047,485,9864,5524,982,180,40,845,390,7599,4204,609,85,17,577,349,6124,3160,403,36,,978,515,8058,3450,341,35,
三重県,2402,中勢伊賀,666,288,4767,2188,532,111,,630,281,5450,3067,744,136,41,549,256,5109,3131,709,122,,517,184,4530,2513,484,69,,463,226,4078,2293,342,47,,370,197,3579,1896,254,,,459,276,4310,1916,188,,
三重県,2403,南勢志摩,559,270,4114,2092,516,101,46,549,265,5184,2953,690,138,,526,214,4965,2999,637,107,37,494,233,4509,2625,523,83,20,460,238,4011,2241,386,,,437,211,3759,1932,254,,,582,333,4697,2191,202,19,
三重県,2404,東紀州,62,26,471,255,72,16,,62,27,634,419,96,18,,57,34,656,387,91,17,,69,34,592,390,84,11,,54,32,604,374,45,,,61,35,679,341,39,,,91,61,841,360,39,,
滋賀県,2501,大津,590,236,4076,1744,343,84,24,577,228,4865,2325,502,96,25,476,211,4433,2433,495,77,19,401,207,3786,2036,380,60,13,358,137,3122,1744,232,26,,259,130,2572,1236,131,,,337,154,2981,1285,100,,
滋賀県,2502,湖南,726,289,4688,1918,385,95,16,598,241,5292,2584,533,103,31,512,260,4472,2437,521,74,20,384,201,3494,1937,357,51,14,311,119,2563,1354,190,23,,222,109,2102,1025,130,,,316,162,2599,1138,107,,
滋賀県,2503,甲賀,266,109,1716,807,194,37,,212,108,1958,1041,231,59,,244,98,1693,1014,230,50,11,177,82,1506,837,151,,,152,71,1436,755,106,14,,148,63,1247,630,72,,,156,105,1591,680,66,,
滋賀県,2504,東近江,390,187,2615,1242,325,68,18,324,147,2788,1589,368,78,,296,118,2436,1493,302,55,10,233,110,2198,1183,228,33,,239,108,2027,1084,148,20,,199,105,1763,934,87,,,241,125,2105,989,71,,
滋賀県,2505,湖東,248,127,1707,890,186,,14,217,90,1945,1095,246,44,14,200,97,1698,977,225,34,,168,77,1378,816,150,17,,118,82,1283,723,101,11,,126,67,1096,632,74,,,156,86,1322,594,50,,
滋賀県,2506,湖北,225,98,1700,777,158,41,16,219,89,1909,1027,234,46,17,214,87,1720,1018,214,32,,163,89,1472,972,160,29,,163,87,1374,794,102,,,121,80,1138,612,68,,,131,74,1286,575,40,,
滋賀県,2507,湖西,47,26,408,178,40,,,54,24,450,258,56,13,,49,14,491,323,53,13,,49,12,462,306,43,,,47,24,518,282,42,,,40,30,425,215,16,,,50,26,488,223,27,,
京都府,2601,丹後,130,53,836,412,79,15,,162,70,1105,563,122,23,,137,83,1102,594,115,15,,124,75,1053,554,102,13,,130,55,1056,508,54,,,119,62,890,411,38,,,136,74,1074,401,35,,
京都府,2602,中丹,303,119,1806,784,166,39,,306,130,2317,1088,245,52,17,254,111,2059,1153,215,26,16,237,81,1885,949,161,25,,198,119,1674,832,135,11,,175,93,1433,703,63,,,225,121,1814,760,76,,
京都府,2603,南丹,219,87,1284,570,122,16,,187,87,1457,763,167,43,,168,88,1381,732,146,28,,162,71,1203,667,116,17,,122,78,1209,671,77,,,154,70,1115,537,64,,,184,106,1361,568,44,,
京都府,2604,京都・乙訓,2354,1073,15600,6576,1386,268,93,2312,1004,18668,9055,1948,362,109,2170,974,17520,9545,1932,312,72,1774,793,14427,7541,1409,189,47,1396,614,11639,5940,855,104,22,990,507,8319,3958,461,39,,1174,626,9835,3975,353,25,
京都府,2605,山城北,647,308,4299,2042,412,99,26,719,292,5625,3082,665,144,48,594,265,5166,2955,615,120,22,477,227,4086,2341,393,57,15,394,169,3308,1762,286,32,,328,154,3035,1488,188,15,,541,284,4386,1868,150,13,
京都府,2606,山城南,190,85,1356,657,125,16,13,175,98,1624,916,164,33,,160,57,1516,846,150,21,,129,63,1203,654,105,11,,83,50,1020,552,85,13,,95,54,874,430,49,,,131,75,1200,468,40,,
大阪府,2701,豊能,1602,692,11440,4922,1012,232,54,1531,645,13308,6737,1324,243,79,1401,550,12989,7151,1355,216,57,1137,451,10299,5609,936,123,33,843,414,7800,3938,587,69,12,600,349,5722,2927,327,22,,856,419,7540,3257,279,18,
大阪府,2702,三島,1050,505,7592,3519,755,158,44,1073,507,9398,4992,1100,232,62,1014,410,8882,5198,1098,174,38,752,334,6700,3729,677,114,25,573,272,5235,2865,430,52,11,442,251,4078,2077,243,24,,586,316,5470,2315,201,30,
大阪府,2703,北河内,1283,622,9452,4795,1181,270,90,1426,616,12183,7077,1778,378,102,1293,563,12223,7593,1612,293,69,1047,458,9636,5963,1156,183,40,791,443,7380,4272,687,91,,678,327,5907,3069,404,46,,826,461,7654,3464,367,22,
大阪府,2704,中河内,904,390,6556,3482,852,173,48,992,415,8606,4949,1181,260,70,980,430,8670,5345,1270,222,56,790,341,7026,4125,831,124,23,624,292,5246,2940,500,47,10,388,201,3902,2086,289,25,,540,320,4916,2426,238,20,
大阪府,2705,南河内,526,220,4170,2092,511,92,41,638,232,5343,3211,764,144,45,600,265,5692,3517,822,122,45,544,228,5053,2987,574,94,20,461,192,4339,2489,406,57,13,384,196,3903,2066,249,19,,559,267,5071,2451,222,12,
大阪府,2706,堺市,997,449,7110,3527,792,168,64,1037,420,9385,5344,1259,238,77,1008,394,8981,5406,1233,200,46,737,303,6959,4043,780,128,24,562,283,5107,3060,475,49,,434,208,3933,2117,271,21,,569,287,5153,2462,205,19,
大阪府,2707,泉州,856,362,6979,3645,866,173,50,1049,434,9244,5380,1256,252,80,953,419,9385,5821,1220,240,41,805,359,7613,4568,851,132,28,639,284,6042,3444,514,64,,524,243,4970,2645,341,31,,710,388,6243,2781,271,18,
大阪府,2708,大阪市,3993,1816,29871,14474,3343,805,231,3840,1515,34216,19139,4393,962,265,3701,1521,33292,19898,4360,790,231,2824,1298,26265,15496,2945,484,94,2064,1021,19039,10720,1808,212,41,1335,698,11823,6569,821,107,,1306,723,11776,5621,652,40,
兵庫県,2801,神戸,2157,991,16023,7111,1522,355,104,2165,947,19390,10133,2128,407,127,2070,938,18782,10521,2126,380,111,1618,767,15520,8514,1552,226,48,1422,645,13001,6858,1096,136,22,1055,514,10177,4842,592,71,,1316,729,11487,4915,474,42,
兵庫県,2804,東播磨,999,474,7699,3706,799,176,55,1010,420,8922,4888,1102,205,58,959,387,8381,4965,1082,199,51,745,321,6620,3922,731,122,32,590,271,5371,3149,524,48,12,449,205,4369,2259,261,34,,584,263,4893,2244,205,18,
