都道府県名,二次医療圏番号,二次医療圏名,"合計(40～44歳, 18.5以上20.0未満)","合計(40～44歳, 18.5未満)","合計(40～44歳, 20.0以上25.0未満)","合計(40～44歳, 25.0以上30.0未満)","合計(40～44歳, 30.0以上35.0未満)","合計(40～44歳, 35.0以上40.0未満)","合計(40～44歳, 40.0以上)","合計(45～49歳, 18.5以上20.0未満)","合計(45～49歳, 18.5未満)","合計(45～49歳, 20.0以上25.0未満)","合計(45～49歳, 25.0以上30.0未満)","合計(45～49歳, 30.0以上35.0未満)","合計(45～49歳, 35.0以上40.0未満)","合計(45～49歳, 40.0以上)","合計(50～54歳, 18.5以上20.0未満)","合計(50～54歳, 18.5未満)","合計(50～54歳, 20.0以上25.0未満)","合計(50～54歳, 25.0以上30.0未満)","合計(50～54歳, 30.0以上35.0未満)","合計(50～54歳, 35.0以上40.0未満)","合計(50～54歳, 40.0以上)","合計(55～59歳, 18.5以上20.0未満)","合計(55～59歳, 18.5未満)","合計(55～59歳, 20.0以上25.0未満)","合計(55～59歳, 25.0以上30.0未満)","合計(55～59歳, 30.0以上35.0未満)","合計(55～59歳, 35.0以上40.0未満)","合計(55～59歳, 40.0以上)","合計(60～64歳, 18.5以上20.0未満)","合計(60～64歳, 18.5未満)","合計(60～64歳, 20.0以上25.0未満)","合計(60～64歳, 25.0以上30.0未満)","合計(60～64歳, 30.0以上35.0未満)","合計(60～64歳, 35.0以上40.0未満)","合計(60～64歳, 40.0以上)","合計(65～69歳, 18.5以上20.0未満)","合計(65～69歳, 18.5未満)","合計(65～69歳, 20.0以上25.0未満)","合計(65～69歳, 25.0以上30.0未満)","合計(65～69歳, 30.0以上35.0未満)","合計(65～69歳, 35.0以上40.0未満)","合計(65～69歳, 40.0以上)","合計(70～74歳, 18.5以上20.0未満)","合計(70～74歳, 18.5未満)","合計(70～74歳, 20.0以上25.0未満)","合計(70～74歳, 25.0以上30.0未満)","合計(70～74歳, 30.0以上35.0未満)","合計(70～74歳, 35.0以上40.0未満)","合計(70～74歳, 40.0以上)"
秋田県,0505,由利本荘・にかほ,118,41,828,451,114,28,12,98,41,834,543,126,34,,90,62,814,503,130,23,,102,44,845,519,97,10,,96,40,887,546,71,10,,129,40,939,533,67,,,84,30,1010,482,57,,
秋田県,0506,大仙・仙北,121,43,993,640,188,32,13,84,44,1089,741,220,38,11,95,50,988,704,165,31,,108,40,1053,723,119,20,,131,57,1215,762,131,,,129,67,1247,699,77,,,133,74,1352,684,79,,
秋田県,0507,横手,102,36,843,486,148,38,,95,49,845,611,124,22,11,85,35,743,539,136,18,,94,32,876,493,76,17,,119,47,941,486,78,,,105,35,905,435,61,,,99,44,959,489,45,,
秋田県,0508,湯沢・雄勝,66,41,498,303,71,21,,47,30,499,373,83,,,62,19,556,347,90,,,83,33,633,391,62,,,85,39,673,415,65,,,84,31,699,382,36,,,76,28,716,386,29,,
山形県,0601,村山,862,426,6256,3334,826,181,54,736,336,6674,3859,938,205,49,709,289,5969,3654,837,148,43,634,301,5687,3440,585,75,22,670,355,5869,3127,505,53,,633,306,5669,2968,341,32,,641,371,6074,3043,298,18,
山形県,0602,最上,72,31,683,455,133,30,,82,47,738,537,130,37,,60,33,641,513,132,25,,80,42,765,510,104,21,,96,49,861,571,98,,,87,54,865,544,65,,,83,37,912,530,53,,
山形県,0603,置賜,335,143,2361,1278,323,72,30,286,131,2604,1513,391,69,,279,166,2365,1466,335,53,,296,156,2297,1432,229,30,,254,142,2449,1329,189,,,289,173,2265,1286,114,,,256,138,2423,1288,114,,
山形県,0604,庄内,467,198,2968,1547,393,98,,426,153,3313,1899,456,85,29,370,157,3123,1812,430,60,26,378,164,3019,1795,314,44,,416,198,3159,1816,257,33,,348,165,3233,1678,233,15,,390,215,3441,1769,196,13,
福島県,0701,県北,642,309,4682,2617,695,155,60,662,284,5428,3426,813,153,46,607,232,5148,3243,759,147,32,551,230,5002,2977,545,91,17,545,239,4887,2742,381,57,11,459,248,4493,2481,279,33,,541,271,5151,2587,257,21,
福島県,0702,県中,652,289,5090,2964,761,165,41,628,290,5639,3661,850,156,53,494,236,5054,3342,723,121,38,561,197,4880,2905,559,85,18,527,217,4761,2913,426,54,,421,213,4329,2469,286,27,,446,200,4591,2448,243,17,
福島県,0703,県南,211,85,1554,847,240,55,16,181,77,1604,1008,261,58,21,133,67,1427,918,197,43,,151,81,1485,942,161,20,,151,88,1519,836,108,,,148,74,1474,821,103,,,145,75,1522,825,70,,
福島県,0706,相双,127,57,1121,770,234,59,20,153,42,1336,978,256,66,17,113,47,1198,933,230,38,,101,48,1207,866,191,23,,119,54,1398,907,130,27,,146,68,1545,1067,148,18,,146,71,1806,1176,136,13,
福島県,0707,いわき,351,163,3111,1825,422,122,38,407,172,3507,2363,626,133,45,337,118,3372,2280,593,117,28,308,147,2985,2100,429,60,14,299,135,2725,1828,318,42,11,239,114,2299,1500,241,,,219,94,2379,1408,162,,
福島県,0708,会津・南会津,315,135,2216,1391,370,95,28,268,112,2492,1684,446,89,20,255,117,2272,1586,427,68,12,276,139,2468,1717,324,49,11,267,155,2675,1636,237,,,277,133,2609,1567,172,,,279,142,2909,1616,155,17,
茨城県,0801,水戸,640,234,4872,2640,655,174,37,625,254,5697,3407,825,185,50,607,262,5261,3365,813,125,25,484,212,4571,2754,524,87,16,428,175,4013,2318,344,29,,323,137,3355,1880,201,16,,319,175,3354,1599,134,13,
茨城県,0802,日立,265,117,2381,1441,369,89,19,329,122,3130,1944,484,116,32,318,123,3434,2032,514,92,27,267,112,2906,1803,360,54,,213,99,2458,1546,251,33,,181,82,2118,1170,160,,,202,109,2331,1174,89,,
茨城県,0803,常陸太田・ひたちなか,463,239,3584,1976,525,134,43,494,182,4454,2614,665,153,37,433,183,4509,2810,652,124,30,417,158,4088,2430,430,64,16,333,152,3547,1939,282,46,,311,129,3158,1625,168,,,332,149,3442,1528,133,,
茨城県,0804,鹿行,273,106,2480,1623,443,117,29,286,113,2894,2094,572,132,34,233,102,2612,1958,479,96,23,226,81,2247,1551,307,46,18,211,86,1972,1357,243,34,,189,104,1996,1249,175,27,,204,95,2135,1158,145,11,
茨城県,0805,土浦,331,143,2471,1440,449,107,30,351,141,3043,1904,519,111,28,326,114,2846,1905,480,70,16,246,106,2474,1603,319,56,,204,84,2089,1274,187,30,,211,77,1941,1151,132,,,187,103,2116,1063,85,,
茨城県,0806,つくば,552,261,4559,2301,522,131,38,502,202,4613,2886,664,127,38,443,178,4017,2504,543,96,20,313,118,3190,2056,360,67,12,263,123,2667,1542,226,28,,207,89,2117,1190,159,,,234,107,2275,1184,115,,
茨城県,0807,取手・竜ヶ崎,603,284,4623,2434,639,158,51,672,280,5751,3387,852,190,40,564,240,5236,3289,785,141,45,481,178,4368,2690,535,93,17,369,184,3641,2231,381,46,,358,174,3509,1996,221,24,,476,191,4518,2072,185,10,
茨城県,0808,筑西・下妻,285,129,2330,1375,374,90,31,317,111,2702,1728,502,85,27,254,102,2438,1706,413,88,12,250,122,2170,1428,266,36,,215,109,2221,1229,216,27,,223,115,2121,1228,133,,,199,99,2019,1045,90,,
茨城県,0809,古河・坂東,281,121,2184,1224,316,72,39,284,118,2429,1604,434,92,19,240,100,2450,1625,362,79,17,239,123,1979,1319,214,34,,227,114,1925,1171,159,17,,163,96,1752,958,121,,,209,103,1872,970,78,,
栃木県,0901,県北,539,265,4003,2308,613,146,47,542,203,4411,2709,764,141,34,452,181,4031,2617,606,99,29,391,190,3599,2150,407,58,11,415,202,3652,1998,270,29,11,402,173,3691,1898,207,17,,466,204,4010,1837,195,11,
栃木県,0902,県西,232,90,1552,934,248,56,28,209,92,1919,1368,334,64,23,207,75,1903,1334,312,54,15,176,86,1745,1117,203,32,,185,85,1768,1000,156,22,,179,89,1535,940,121,,,193,83,1749,873,75,,
栃木県,0903,宇都宮,881,376,6728,3495,895,215,66,817,306,7483,4518,1043,233,68,696,276,6825,4375,983,204,46,570,220,5732,3417,619,115,20,492,205,4525,2504,406,38,12,282,134,3310,1713,206,,,349,170,3336,1648,144,,
栃木県,0904,県東,212,109,1647,977,258,67,24,203,78,1785,1217,328,67,17,168,89,1616,1007,229,39,11,184,66,1487,867,172,28,,181,73,1475,851,120,15,,183,101,1533,856,85,,,165,97,1695,790,87,,
栃木県,0905,県南,640,288,4842,2854,713,162,48,659,292,6129,3771,946,227,66,560,259,5363,3612,823,151,45,483,241,4686,2915,585,87,22,491,227,4320,2516,405,36,,425,197,3955,2180,281,28,,433,248,4177,2026,198,10,
栃木県,0906,両毛,304,143,2365,1437,364,99,23,302,141,2900,1848,494,120,32,324,149,2791,1850,425,101,16,291,126,2440,1571,300,35,11,245,123,2116,1228,214,33,,207,121,1980,957,113,,,211,120,2190,1045,105,,
群馬県,1001,前橋,481,200,3677,1992,477,104,31,477,196,4342,2509,660,116,40,438,207,4102,2486,546,113,34,373,154,3619,2050,388,55,18,374,167,3092,1787,231,26,,282,149,2835,1472,168,,,335,187,3217,1458,148,,
群馬県,1002,渋川,141,61,1077,618,141,42,15,147,63,1246,745,173,28,20,115,46,1175,732,157,23,,98,54,1052,587,137,12,,142,47,1149,582,80,,,123,50,1022,501,50,,,130,86,1125,483,32,,
群馬県,1003,伊勢崎,370,172,2623,1431,344,69,27,381,167,3212,1799,468,99,28,359,174,3000,1795,412,71,31,312,150,2599,1487,276,41,,228,133,2269,1229,182,21,,201,113,1927,1008,112,,,257,145,2217,1080,95,,
群馬県,1004,高崎・安中,566,272,4494,2276,549,121,36,628,286,5573,3080,687,139,50,562,277,5402,3168,664,97,38,475,245,4552,2482,453,58,10,389,187,3809,1937,295,40,,348,168,3268,1582,152,,,430,227,3761,1569,126,,
群馬県,1005,藤岡,72,33,572,295,95,23,,87,31,781,435,122,22,,75,47,674,435,100,29,,77,41,630,371,69,,,59,29,593,329,51,,,62,25,562,265,35,,,77,36,755,309,22,,
群馬県,1006,富岡,94,34,556,311,68,17,,93,38,746,389,98,13,,89,35,727,356,83,17,,95,44,720,352,73,,,98,36,727,336,45,,,84,35,783,362,44,,,97,54,901,371,20,,
群馬県,1007,吾妻,43,14,359,216,62,15,,59,21,500,309,77,20,,57,17,518,336,80,11,,61,25,542,281,48,13,,56,27,619,317,49,12,,69,24,587,334,38,,,77,36,719,347,28,,
群馬県,1008,沼田,58,31,595,360,93,21,10,88,32,739,478,125,22,,98,29,800,477,116,23,,74,39,805,461,77,15,,89,44,851,464,58,,,101,43,911,484,41,,,100,62,994,526,34,,
群馬県,1009,桐生,176,82,1292,789,207,38,18,170,86,1711,1083,264,51,18,186,80,1742,1110,247,48,13,203,85,1495,869,154,20,,153,82,1374,756,122,13,,129,68,1238,679,51,,,197,85,1681,847,61,,
群馬県,1010,太田・館林,557,235,4382,2492,653,151,60,568,249,4989,3073,801,180,47,510,217,4548,3058,682,147,36,421,198,3748,2388,409,64,,347,204,2937,1673,297,24,,315,155,2943,1479,175,,,452,220,3864,1840,160,,
埼玉県,1101,南部,1162,511,9359,4868,1168,252,75,1036,439,10701,6385,1517,276,101,1041,417,10139,6421,1574,286,79,822,351,7881,5015,984,155,48,601,307,5689,3395,599,75,12,478,212,4406,2389,322,27,,579,307,5070,2468,257,16,
埼玉県,1102,南西部,1178,473,8608,4296,946,207,70,1089,448,9841,5671,1322,279,65,1078,419,9495,5677,1243,215,68,843,388,7588,4515,834,129,34,564,275,5428,3083,459,80,11,469,232,4421,2258,295,34,,619,328,5661,2579,227,20,
