番号,避難場所名,有効面積 (㎡),収容人数 (人),住所1,住所２,LocName
146,中ふれあいセンター,396,233,皇子が丘一丁目9-10,滋賀県大津市皇子が丘一丁目9-10,滋賀県/大津市/皇子が丘/一丁目/９番
147,柳が崎湖畔公園芝生広場,"1,500","1,500",柳が崎5,滋賀県大津市柳が崎5,滋賀県/大津市/柳が崎/５番
148,柳が崎湖畔公園駐車場,"7,000","7,000",柳が崎7,滋賀県大津市柳が崎7,滋賀県/大津市/柳が崎/７番
149,皇子が丘保育園グラウンド,425,425,皇子が丘一丁目20-20,滋賀県大津市皇子が丘一丁目20-20,滋賀県/大津市/皇子が丘/一丁目/２０番
150,皇子が丘公園,"168,000","168,000",皇子が丘一丁目1,滋賀県大津市皇子が丘一丁目1,滋賀県/大津市/皇子が丘/一丁目/１番
151,びわ湖大津館,998,586,柳が崎5-35,滋賀県大津市柳が崎5-35,滋賀県/大津市/柳が崎/５番
152,近江神宮外苑公園,"10,388","10,388",二本松1-2,滋賀県大津市二本松1-2,滋賀県/大津市/二本松/１番
153,山中比叡平市民センター,152,89,比叡平三丁目57-1,滋賀県大津市比叡平三丁目57-1,滋賀県/大津市/比叡平/三丁目/５７番
154,比叡平小学校体育館,416,244,比叡平一丁目45-1,滋賀県大津市比叡平一丁目45-1,滋賀県/大津市/比叡平/一丁目/４５番
155,比叡平小学校グラウンド,"8,212","8,212",比叡平一丁目45-1,滋賀県大津市比叡平一丁目45-1,滋賀県/大津市/比叡平/一丁目/４５番
156,"やまのこひろば
(比叡平幼稚園・ひえい平保育園)グラウンド","1,180","1,180",比叡平一丁目45-3,滋賀県大津市比叡平一丁目45-3,
157,住民交流・まちづくりセンター,231,135,比叡平二丁目39-4,滋賀県大津市比叡平二丁目39-4,滋賀県/大津市/比叡平/二丁目/３９番
158,住民交流・まちづくりセンター中庭,"1,000","1,000",比叡平二丁目39-4,滋賀県大津市比叡平二丁目39-4,滋賀県/大津市/比叡平/二丁目/３９番
159,比叡平市民運動広場,"9,886","9,886",比叡平一丁目1063-9,滋賀県大津市比叡平一丁目1063-9,滋賀県/大津市/比叡平/一丁目
160,山中会館,171,100,山中町1-12,滋賀県大津市山中町1-12,滋賀県/大津市/山中町/１番
161,山中市民運動広場,"1,200","1,200",山中町1-12,滋賀県大津市山中町1-12,滋賀県/大津市/山中町/１番
162,藤尾市民センター,230,135,横木二丁目4-1,滋賀県大津市横木二丁目4-1,滋賀県/大津市/横木/二丁目/４番
163,藤尾小学校体育館,567,333,茶戸町10-1,滋賀県大津市茶戸町10-1,滋賀県/大津市/茶戸町/１０番
164,藤尾小学校グラウンド,"5,000","5,000",茶戸町10-1,滋賀県大津市茶戸町10-1,滋賀県/大津市/茶戸町/１０番
165,永興藤尾こども園グラウンド,"1,490","1,490",茶戸町22-6,滋賀県大津市茶戸町22-6,滋賀県/大津市/茶戸町/２２番
166,市営大谷団地一帯,"3,083","3,083",大谷町6,滋賀県大津市大谷町6,滋賀県/大津市/大谷町/６番
167,長等市民センター,338,198,大門通16-40,滋賀県大津市大門通16-40,滋賀県/大津市/大門通/１６番
168,長等小学校体育館,448,263,大門通5-1,滋賀県大津市大門通5-1,滋賀県/大津市/大門通/５番
169,長等小学校グラウンド,"6,000","6,000",大門通5-1,滋賀県大津市大門通5-1,滋賀県/大津市/大門通/５番
170,皇子山中学校体育館,792,466,尾花川12-1,滋賀県大津市尾花川12-1,滋賀県/大津市/尾花川/１２番
171,皇子山中学校グラウンド,"13,200","13,200",尾花川12-1,滋賀県大津市尾花川12-1,滋賀県/大津市/尾花川/１２番
172,長等幼稚園,162,95,三井寺町10-30,滋賀県大津市三井寺町10-30,滋賀県/大津市/三井寺町/１０番
173,長等幼稚園グラウンド,"1,085","1,085",三井寺町10-30,滋賀県大津市三井寺町10-30,滋賀県/大津市/三井寺町/１０番
174,滋賀県立大津商業高校体育館,"1,384",814,御陵町2-1,滋賀県大津市御陵町2-1,滋賀県/大津市/御陵町/２番
175,滋賀県立大津商業高校グラウンド,"16,402","16,402",御陵町2-1,滋賀県大津市御陵町2-1,滋賀県/大津市/御陵町/２番
176,市民文化会館,195,114,御陵町2-3,滋賀県大津市御陵町2-3,滋賀県/大津市/御陵町/２番
177,県立スポーツ会館,951,559,御陵町4-1,滋賀県大津市御陵町4-1,滋賀県/大津市/御陵町/４番
178,尾花川公園,"2,167","2,167",尾花川1,滋賀県大津市尾花川1,滋賀県/大津市/尾花川/１番
179,皇子山総合運動公園,"151,000","151,000",御陵町4,滋賀県大津市御陵町4,滋賀県/大津市/御陵町/４番
180,逢坂市民センター,648,381,京町三丁目1-3,滋賀県大津市京町三丁目1-3,滋賀県/大津市/京町/三丁目/１番
181,逢坂小学校体育館,466,273,音羽台6-1,滋賀県大津市音羽台6-1,滋賀県/大津市/音羽台/６番
182,逢坂小学校グラウンド,"9,900","9,900",音羽台6-1,滋賀県大津市音羽台6-1,滋賀県/大津市/音羽台/６番
183,逢坂幼稚園,134,78,音羽台6-2,滋賀県大津市音羽台6-2,滋賀県/大津市/音羽台/６番
184,逢坂幼稚園グラウンド,"1,876","1,876",音羽台6-2,滋賀県大津市音羽台6-2,滋賀県/大津市/音羽台/６番
185,逢坂保育園グラウンド,863,863,音羽台6-20,滋賀県大津市音羽台6-20,滋賀県/大津市/音羽台/６番
186,打出中学校体育館,882,518,本宮二丁目46-1,滋賀県大津市本宮二丁目46-1,滋賀県/大津市/本宮/二丁目/４６番
187,打出中学校グラウンド,"13,839","13,839",本宮二丁目46-1,滋賀県大津市本宮二丁目46-1,滋賀県/大津市/本宮/二丁目/４６番
188,滋賀短期大学附属高校グラウンド,"5,346","5,346",朝日が丘一丁目18-1,滋賀県大津市朝日が丘一丁目18-1,滋賀県/大津市/朝日が丘/一丁目/１８番
189,滋賀短期大学附属高校体育館,"1,431",841,朝日が丘一丁目18-1,滋賀県大津市朝日が丘一丁目18-1,滋賀県/大津市/朝日が丘/一丁目/１８番
190,朝日が丘保育園グラウンド,"1,000","1,000",朝日が丘一丁目23-33,滋賀県大津市朝日が丘一丁目23-33,滋賀県/大津市/朝日が丘/一丁目/２３番
191,中央市民センター,477,280,中央二丁目2-5,滋賀県大津市中央二丁目2-5,滋賀県/大津市/中央/二丁目/２番
192,中央小学校体育館,481,283,島の関1-60,滋賀県大津市島の関1-60,滋賀県/大津市/島の関/１番
193,中央小学校グラウンド,"6,752","6,752",島の関1-60,滋賀県大津市島の関1-60,滋賀県/大津市/島の関/１番
194,大津幼稚園,105,61,島の関1-50,滋賀県大津市島の関1-50,滋賀県/大津市/島の関/１番
195,大津幼稚園グラウンド,800,800,島の関1-50,滋賀県大津市島の関1-50,滋賀県/大津市/島の関/１番
196,市民会館,925,544,島の関14-1,滋賀県大津市島の関14-1,滋賀県/大津市/島の関/１４番
197,大津湖岸なぎさ公園おまつり広場,"17,000","17,000",島の関13地先,滋賀県大津市島の関13地先,滋賀県/大津市/島の関/１３番
198,大津港,"69,000","69,000",浜大津五丁目5,滋賀県大津市浜大津五丁目5,滋賀県/大津市/浜大津/五丁目
199,平野市民センター,579,340,馬場三丁目15-45,滋賀県大津市馬場三丁目15-45,滋賀県/大津市/馬場/三丁目/１５番
200,平野小学校体育館,525,308,馬場一丁目2-1,滋賀県大津市馬場一丁目2-1,滋賀県/大津市/馬場/一丁目/２番
201,平野小学校グラウンド,"5,450","5,450",馬場一丁目2-1,滋賀県大津市馬場一丁目2-1,滋賀県/大津市/馬場/一丁目/２番
