番号,避難場所名,有効面積 (㎡),収容人数 (人),住所1,住所２,LocName
296,田上中学校体育館,771,453,新免一丁目1-12,滋賀県大津市新免一丁目1-12,滋賀県/大津市/新免/一丁目/１番
297,田上中学校グラウンド,"10,969","10,969",新免一丁目1-12,滋賀県大津市新免一丁目1-12,滋賀県/大津市/新免/一丁目/１番
298,上田上幼稚園,126,74,平野一丁目18-20,滋賀県大津市平野一丁目18-20,滋賀県/大津市/平野/一丁目/１８番
299,上田上幼稚園グラウンド,"1,200","1,200",平野一丁目18-20,滋賀県大津市平野一丁目18-20,滋賀県/大津市/平野/一丁目/１８番
300,滋賀アリーナ（屋外駐車場、多目的広場）,"15,746","15,745",上田上中野町779,滋賀県大津市上田上中野町779,滋賀県/大津市/上田上中野町
301,青山市民センター,924,543,青山五丁目13-36,滋賀県大津市青山五丁目13-36,滋賀県/大津市/青山/五丁目/１３番
302,青山小学校体育館,470,276,青山三丁目16-1,滋賀県大津市青山三丁目16-1,滋賀県/大津市/青山/三丁目/１６番
303,青山小学校グラウンド,"11,355","11,355",青山三丁目16-1,滋賀県大津市青山三丁目16-1,滋賀県/大津市/青山/三丁目/１６番
304,青山中学校体育館,898,528,青山八丁目24-1,滋賀県大津市青山八丁目24-1,滋賀県/大津市/青山/八丁目/２４番
305,青山中学校グラウンド,"13,257","13,257",青山八丁目24-1,滋賀県大津市青山八丁目24-1,滋賀県/大津市/青山/八丁目/２４番
306,青山幼稚園,158,92,青山三丁目16-2,滋賀県大津市青山三丁目16-2,滋賀県/大津市/青山/三丁目/１６番
307,青山幼稚園グラウンド,"1,826","1,826",青山三丁目16-2,滋賀県大津市青山三丁目16-2,滋賀県/大津市/青山/三丁目/１６番
308,瀬田市民センター,553,325,大江三丁目2-1,滋賀県大津市大江三丁目2-1,滋賀県/大津市/大江/三丁目/２番
309,瀬田小学校体育館,594,349,大江四丁目2-1,滋賀県大津市大江四丁目2-1,滋賀県/大津市/大江/四丁目/２番
310,瀬田小学校グラウンド,"10,000","10,000",大江四丁目2-1,滋賀県大津市大江四丁目2-1,滋賀県/大津市/大江/四丁目/２番
311,瀬田中学校体育館,951,559,大江七丁目1-1,滋賀県大津市大江七丁目1-1,滋賀県/大津市/大江/七丁目/１番
312,瀬田中学校グラウンド,"15,000","15,000",大江七丁目1-1,滋賀県大津市大江七丁目1-1,滋賀県/大津市/大江/七丁目/１番
313,瀬田幼稚園,150,88,大江四丁目3-6,滋賀県大津市大江四丁目3-6,滋賀県/大津市/大江/四丁目/３番
314,瀬田幼稚園グラウンド,"1,084","1,084",大江四丁目3-6,滋賀県大津市大江四丁目3-6,滋賀県/大津市/大江/四丁目/３番
315,瀬田北市民センター,390,229,大将軍一丁目14-30,滋賀県大津市大将軍一丁目14-30,滋賀県/大津市/大将軍/一丁目/１４番
316,瀬田北小学校体育館,477,280,大将軍一丁目14-5,滋賀県大津市大将軍一丁目14-5,滋賀県/大津市/大将軍/一丁目/１４番
317,瀬田北小学校グラウンド,"11,495","11,495",大将軍一丁目14-5,滋賀県大津市大将軍一丁目14-5,滋賀県/大津市/大将軍/一丁目/１４番
318,瀬田北中学校体育館,765,450,大将軍一丁目13-1,滋賀県大津市大将軍一丁目13-1,滋賀県/大津市/大将軍/一丁目/１３番
319,瀬田北中学校グラウンド,"14,994","14,994",大将軍一丁目13-1,滋賀県大津市大将軍一丁目13-1,滋賀県/大津市/大将軍/一丁目/１３番
320,瀬田北幼稚園,149,87,大将軍一丁目14-1,滋賀県大津市大将軍一丁目14-1,滋賀県/大津市/大将軍/一丁目/１４番
321,瀬田北幼稚園グラウンド,"2,117","2,117",大将軍一丁目14-1,滋賀県大津市大将軍一丁目14-1,滋賀県/大津市/大将軍/一丁目/１４番
322,瀬田南市民センター,406,238,神領三丁目8-9,滋賀県大津市神領三丁目8-9,滋賀県/大津市/神領/三丁目/８番
323,瀬田南小学校体育館,598,351,三大寺1-1,滋賀県大津市三大寺1-1,滋賀県/大津市/三大寺/１番
324,瀬田南小学校グラウンド,"12,546","12,546",三大寺1-1,滋賀県大津市三大寺1-1,滋賀県/大津市/三大寺/１番
325,"みなみっこひろば
（瀬田南幼稚園・瀬田南保育園）",194,114,三大寺1-3,滋賀県大津市三大寺1-3,
326,"みなみっこひろば
（瀬田南幼稚園・瀬田南保育園）グラウンド","1,900","1,900",三大寺1-3,滋賀県大津市三大寺1-3,
327,滋賀県立瀬田工業高校体育館,700,411,神領三丁目18-1,滋賀県大津市神領三丁目18-1,滋賀県/大津市/神領/三丁目/１８番
328,滋賀県立瀬田工業高校グラウンド,"19,310","19,310",神領三丁目18-1,滋賀県大津市神領三丁目18-1,滋賀県/大津市/神領/三丁目/１８番
329,野郷原児童遊園地,"1,218","1,218",野郷原一丁目2,滋賀県大津市野郷原一丁目2,滋賀県/大津市/野郷原/一丁目/２番
330,唐橋公園,"26,605","26,605",瀬田一丁目,滋賀県大津市瀬田一丁目,滋賀県/大津市/瀬田/一丁目
331,瀬田東市民センター,406,238,一里山三丁目16-1,滋賀県大津市一里山三丁目16-1,滋賀県/大津市/一里山/三丁目/１６番
332,瀬田東小学校体育館,602,354,一里山二丁目20-2,滋賀県大津市一里山二丁目20-2,滋賀県/大津市/一里山/二丁目/２０番
333,瀬田東小学校グラウンド,"8,790","8,790",一里山二丁目20-2,滋賀県大津市一里山二丁目20-2,滋賀県/大津市/一里山/二丁目/２０番
334,瀬田東幼稚園,151,88,一里山二丁目20-1,滋賀県大津市一里山二丁目20-1,滋賀県/大津市/一里山/二丁目/２０番
335,瀬田東幼稚園グラウンド,"1,909","1,909",一里山二丁目20-1,滋賀県大津市一里山二丁目20-1,滋賀県/大津市/一里山/二丁目/２０番
336,滋賀県立東大津高校体育館,979,576,瀬田南大萱町1732-2,滋賀県大津市瀬田南大萱町1732-2,滋賀県/大津市/瀬田南大萱町/１７３２番地
337,滋賀県立東大津高校グラウンド,"26,400","26,400",瀬田南大萱町1732-2,滋賀県大津市瀬田南大萱町1732-2,滋賀県/大津市/瀬田南大萱町/１７３２番地
338,一里山公園緑のふれあいセンター,394,231,一里山三丁目16-1,滋賀県大津市一里山三丁目16-1,滋賀県/大津市/一里山/三丁目/１６番
339,瀬田公園体育館,844,496,一里山六丁目9,滋賀県大津市一里山六丁目9,滋賀県/大津市/一里山/六丁目/９番
340,月輪自動車教習所,"15,000","15,000",月輪一丁目6-1,滋賀県大津市月輪一丁目6-1,滋賀県/大津市/月輪/一丁目/６番
341,一里山公園,"7,037","7,037",一里山三丁目１６,滋賀県大津市一里山三丁目１６,滋賀県/大津市/一里山/三丁目/１６番
342,月輪大池公園,"35,000","35,000",月輪四丁目１,滋賀県大津市月輪四丁目１,滋賀県/大津市/月輪/四丁目/１番
343,びわこ文化公園,"131,000","131,000",瀬田南大萱町1740-1,滋賀県大津市瀬田南大萱町1740-1,滋賀県/大津市/瀬田南大萱町/１７４０番地
344,瀬田公園,"128,433","128,433",一里山六丁目9他,滋賀県大津市一里山六丁目9他,滋賀県/大津市/一里山/六丁目/９番
