通番,系列,店舗,住所
83,S,セブンイレブンキヨスクＪＲ比叡山坂本駅改札口店,滋賀県大津市坂本３－３１
84,S,セブンイレブンＫＯＹＯ大津赤十字病院店,滋賀県大津市長等１丁目１－３５
85,S,セブンイレブンＪＲ大津駅前店,滋賀県大津市春日町２－１
86,S,セブンイレブン瀬田駅前店,滋賀県大津市大萱１－１７－５
87,S,セブンイレブンハートインＪＲ石山駅南口店,滋賀県大津市粟津町３－１
88,S,セブンイレブンハートインＪＲ大津京駅前店,滋賀県大津市皇子が丘２－８－１
89,S,セブンイレブンハートインＪＲおごと温泉駅前店,滋賀県大津市雄琴北１丁目３－１８
90,S,セブンイレブンハートインＪＲ堅田駅前店,滋賀県大津市真野１丁目１－７１
91,S,セブンイレブンハートインＪＲ膳所駅改札口店,滋賀県大津市馬場２－１１－８
92,S,セブンイレブンハートインビエラ大津店,滋賀県大津市春日町１－３
93,S,セブンイレブン琵琶湖大橋西口店,滋賀県大津市真野２－３０－２５
94,S,セブンイレブン名神高速草津ＰＡ上り店,滋賀県大津市月輪５丁目２８－１
95,NY,ニューヤマザキデイリーストア大津市役所店,滋賀県大津市御陵町３－１大津市役所本庁舎新館
96,NY,ヤマザキＹショップ滋賀病院店,滋賀県大津市富士見台１６－１
97,NY,ヤマザキＹショップフタツヤ店,滋賀県大津市木戸１７５－４
